ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
6,18,528.485254691689,401.12868632707773,0,18
6,19,507.6546546546547,405.93693693693695,0,19
6,20,574.6272189349113,420.0207100591716,0,20
6,21,537.6305555555556,428.81388888888887,0,21
6,22,594.97583081571,434.41993957703926,0,22
6,23,628.9906103286385,432.82159624413146,0,23
6,24,562.4180064308682,442.3890675241158,0,24
6,25,605.9745042492918,452.09631728045326,0,25
6,26,640.8491620111732,448.9608938547486,0,26
6,27,584.3691275167786,469.92170022371363,0,27
6,28,629.9940828402367,470.8609467455621,0,28
6,29,611.4962121212121,481.0151515151515,0,29
6,30,626.0186046511628,501.49302325581397,0,30
6,31,622.5623003194888,572.3035143769968,0,31
6,32,646.3482142857143,591.3511904761905,0,32
6,33,548.786301369863,600.5917808219178,0,33
6,34,544.6462264150944,681.3702830188679,0,34
6,35,563.4606299212599,671.8582677165355,0,35
6,36,580.5024390243902,692.9463414634147,0,36
6,37,568.8910505836576,710.6731517509728,0,37
6,38,553.2328431372549,725.2083333333334,0,38
6,39,911.4787234042553,719.6968085106383,0,39
6,40,893.9736147757257,740.4960422163589,0,40
6,41,586.1772727272727,732.4772727272727,0,41
6,42,614.8450704225352,731.6854460093897,0,42
6,43,915.2916666666666,742.6845238095239,0,43
6,44,636.4774774774775,750.1306306306307,0,44
6,45,600.7525,753.615,0,45
6,46,628.8888888888889,777.5777777777778,0,46
6,47,134.21719457013575,927.6515837104073,0,47
6,48,109.18023255813954,935.6627906976744,0,48
6,49,149.63453815261045,951.9558232931727,0,49
6,50,129.75229357798165,958.6819571865443,0,50
6,51,224.92887029288704,952.1213389121339,0,51
6,52,250.3,963.8625,0,52
7,1,959.4249201277955,48.575079872204476,0,1
7,2,744.8428571428572,79.38571428571429,0,2
7,3,94.48192771084338,138.82409638554216,0,3
7,4,812.3163265306123,145.51020408163265,0,4
7,5,205.98235294117646,150.60588235294117,0,5
7,6,226.2463768115942,156.4927536231884,0,6
7,7,836.2169811320755,157.08962264150944,0,7
7,8,796.8694516971279,164.0835509138381,0,8
7,9,879.509009009009,192.67567567567568,0,9
7,10,576.3775216138329,200.9279538904899,0,10
7,11,852.2712765957447,199.71808510638297,0,11
7,12,660.3119533527697,210.2798833819242,0,12
7,13,492.83798882681566,218.19832402234636,0,13
7,14,560.453074433657,222.0873786407767,0,14
7,15,607.879679144385,222.25935828877004,0,15
7,16,462.87172011661806,227.2332361516035,0,16
7,17,588.6040462427745,232.96531791907515,0,17
7,18,474.05825242718447,236.60194174757282,0,18
7,19,479.14939759036145,249.2289156626506,0,19
7,20,509.78350515463916,258.86082474226805,0,20
7,21,690.3333333333334,267.2163742690058,0,21
7,22,692.1277258566978,296.68224299065423,0,22
7,23,586.0366197183099,305.39154929577467,0,23
7,24,113.10800744878958,317.38733705772813,0,24
7,25,154.93,325.782,0,25
7,26,570.3041237113403,333.47680412371136,0,26
7,27,84.1878453038674,337.1491712707182,0,27
7,28,331.6565096952909,332.6398891966759,0,28
7,29,116.63192182410424,341.6319218241042,0,29
7,30,144.30943396226414,345.4981132075472,0,30
7,31,821.0496688741722,350.47682119205297,0,31
7,32,305.55786350148367,349.24035608308606,0,32
7,33,346.1693989071038,349.42076502732243,0,33
7,34,801.4623655913979,370.4731182795699,0,34
7,35,366.6069868995633,364.2183406113537,0,35
7,36,299.99491094147584,368.3333333333333,0,36
7,37,342.89574468085107,371.4808510638298,0,37
7,38,260.9563758389262,370.67785234899327,0,38
7,39,218.72038834951456,376.77669902912623,0,39
7,40,473.2070707070707,380.34343434343435,0,40
7,41,289.8754208754209,385.962962962963,0,41
7,42,324.95962732919253,387.99068322981367,0,42
7,43,450.07964601769913,389.83185840707966,0,43
7,44,264.5992438563327,397.3553875236295,0,44
7,45,345.020725388601,402.49481865284974,0,45
7,46,302.2644376899696,410.1246200607903,0,46
7,47,440.8250539956803,411.267818574514,0,47
7,48,713.3909348441927,422.61473087818695,0,48
7,49,48.37373737373738,438.69444444444446,0,49
7,50,284.21144278606965,430.1940298507463,0,50
7,51,324.54954954954957,424.35135135135135,0,51
7,52,741.1143552311436,435.0097323600973,0,52
7,53,436.04663212435236,434.2901554404145,0,53
7,54,418.97641509433964,452.8443396226415,0,54
